-5.8,0,1,0
-5.5,0,1,0
-5.4,0,1,0
-5.3,1,5,0
-5.2,1,2,0
-5.1,1,1,0
-5.0,2,4,1
-4.9,4,7,0
-4.8,4,4,1
-4.7,7,17,5
-4.6,9,18,5
-4.5,15,22,6
-4.4,16,17,5
-4.3,18,32,11
-4.2,21,24,12
-4.1,45,28,16
-4.0,36,30,17
-3.9,51,21,20
-3.8,51,40,23
-3.7,74,40,35
-3.6,97,39,29
-3.5,67,42,52
-3.4,76,56,44
-3.3,86,41,41
-3.2,64,52,44
-3.1,76,37,46
-3.0,89,54,46
-2.9,88,39,38
-2.8,94,47,44
-2.7,94,41,57
-2.6,86,23,51
-2.5,87,38,58
-2.4,84,44,58
-2.3,68,24,43
-2.2,62,27,56
-2.1,67,20,48
-2.0,49,20,44
-1.9,55,18,49
-1.8,44,21,37
-1.7,38,13,36
-1.6,41,20,31
-1.5,41,19,21
-1.4,33,10,10
-1.3,28,11,22
-1.2,23,14,21
-1.1,24,12,20
-1.0,18,5,16
-0.9,14,7,5
-0.8,11,6,9
-0.7,8,6,14
-0.6,12,4,6
-0.5,7,3,7
-0.4,6,2,5
-0.3,6,2,4
-0.2,4,1,2
-0.1,5,1,2
0.0,3,3,7
0.1,2,3,1
0.2,5,1,2
0.3,3,1,1
0.4,1,0,2
0.5,0,0,1
0.6,0,0,3
0.7,1,0,0
0.9,1,0,0
1.2,0,0,1
1.3,2,0,0
2.2,1,0,0
